authfull,inst_name,cntry,np6023,firstyr,lastyr,rank (ns),nc9623 (ns),h23 (ns),hm23 (ns),nps (ns),ncs (ns),cpsf (ns),ncsf (ns),npsfl (ns),ncsfl (ns),c (ns),npciting (ns),cprat (ns),np6023 cited9623 (ns),self%,rank,nc9623,h23,hm23,nps,ncs,cpsf,ncsf,npsfl,ncsfl,c,npciting,cprat,np6023 cited9623,np6023_rw,nc9623_to_rw,nc9623_rw,sm-subfield-1,sm-subfield-1-frac,sm-subfield-2,sm-subfield-2-frac,sm-field,sm-field-frac,rank sm-subfield-1,rank sm-subfield-1 (ns),sm-subfield-1 count
"Sahu, Partha Pratim",Tezpur University,ind,138,2003,2024,"389,309",786,15,11.4762,27,186,36,251,117,700,2.8902,644,1.2205,98,31.65%,"297,415","1,150",18,14.3095,27,286,36,363,117,"1,035",3.0717,801,1.4357,106,0,0,0,Optoelectronics & Photonics,0.2174,Optics,0.1159,Enabling & Strategic Technologies,0.3333,"1,285","1,633","120,816"
"Prabhakar, Pranav Kumar",Lovely Professional University,ind,80,2008,2024,"389,799","1,332",16,8.7792,5,34,27,964,52,"1,034",2.8896,"1,178",1.1307,48,8.45%,"419,512","1,455",17,9.0292,5,34,27,"1,056",52,"1,133",2.9128,"1,252",1.1621,49,0,0,0,Medicinal & Biomolecular Chemistry,0.2278,Pharmacology & Pharmacy,0.1392,Clinical Medicine,0.3544,"2,182","1,964","105,998"
"Ramalingaswami, V.","All India Institute of Medical Sciences, New Delhi",ind,127,1950,2011,"389,817",882,16,10.4262,37,158,53,252,123,809,2.8896,825,1.0691,90,3.82%,"445,059",917,16,10.4262,37,160,53,258,123,838,2.8849,844,1.0865,92,0,0,0,General & Internal Medicine,0.2857,Pathology,0.1357,Clinical Medicine,0.7500,"5,634","5,270","333,256"
"Tripathi, Arun Kumar",Central Institute of Medicinal and Aromatic Plants India,ind,51,1984,2020,"389,978","1,775",22,9.5845,2,12,18,822,28,"1,085",2.8894,"1,586",1.1192,46,4.21%,"429,036","1,853",22,10.4179,2,12,18,865,28,"1,138",2.9021,"1,632",1.1354,47,0,0,0,Medicinal & Biomolecular Chemistry,0.3725,Entomology,0.2941,Biology,0.4510,"2,244","1,967","105,998"
"Hemanth, Joel",Presidency University Bangalore,ind,57,1994,2021,"391,486",587,12,9.7500,30,433,33,453,47,473,2.8876,517,1.1354,44,23.96%,"336,235",772,15,12.7500,30,491,33,521,47,560,3.0159,576,1.3403,45,0,0,1,Materials,0.6491,Mechanical Engineering & Transports,0.1228,Enabling & Strategic Technologies,0.7544,"5,350","6,189","299,561"
"Pradhan, Swapan Kumar",The University of Burdwan,ind,209,1987,2024,"391,498","3,555",32,16.8529,0,0,19,338,150,"2,300",2.8876,"3,301",1.0769,185,19.42%,"369,019","4,412",36,19.9362,0,0,19,402,150,"2,944",2.9730,"3,589",1.2293,192,0,0,0,Materials,0.4498,Applied Physics,0.2249,Enabling & Strategic Technologies,0.5072,"5,920","6,191","299,561"
"Nath, Sunil",Indian Institute of Technology Delhi,ind,71,1988,2024,"391,622",666,12,9.8167,39,258,60,543,67,591,2.8875,572,1.1643,60,48.17%,"165,067","1,285",22,18.1667,39,640,60,"1,077",67,"1,205",3.3235,628,2.0462,68,0,0,0,Biotechnology,0.1831,Chemical Physics,0.1831,Biomedical Research,0.3521,509,"1,488","62,673"
"Manjanna, J.",Rani Channamma University,ind,97,2001,2024,"393,342","2,553",28,10.5286,1,22,14,189,41,845,2.8855,"2,222",1.1490,86,10.48%,"358,934","2,852",30,11.8119,1,33,14,268,41,"1,002",2.9858,"2,356",1.2105,89,0,0,1,Materials,0.1959,Applied Physics,0.1856,Enabling & Strategic Technologies,0.2680,"5,740","6,222","299,561"
"Panda, Sujogya Kumar",Utkal University,ind,78,2008,2024,"393,448","1,408",21,9.9286,1,37,32,544,39,639,2.8854,"1,286",1.0949,64,17.66%,"353,454","1,710",23,10.8298,1,59,32,698,39,804,2.9930,"1,402",1.2197,66,1,2,4,Medicinal & Biomolecular Chemistry,0.1923,Microbiology,0.1282,Chemistry,0.2692,"1,778","1,989","105,998"
"Chakraborty, Kajal","ICAR - Central Marine Fisheries Research Institute, Kochi",ind,221,2003,2024,"394,493","1,949",21,13.0310,4,2,115,"1,179",184,"1,597",2.8841,"1,554",1.2542,191,35.74%,"285,732","3,033",29,18.6143,4,2,115,"1,712",184,"2,520",3.0896,"1,781",1.7030,204,1,4,2,Food Science,0.2955,Medicinal & Biomolecular Chemistry,0.2727,"Agriculture, Fisheries & Forestry",0.3545,"1,670","2,623","84,371"
"Vijayakumar, K.",SRM Institute of Science and Technology,ind,243,2003,2024,"394,664","1,775",19,10.5286,2,39,21,272,111,"1,038",2.8839,"1,586",1.1192,178,25.20%,"342,522","2,373",22,13.8536,2,40,21,340,111,"1,343",3.0073,"1,866",1.2717,197,0,0,1,Artificial Intelligence & Image Processing,0.3128,Electrical & Electronic Engineering,0.2881,Information & Communication Technologies,0.3951,"7,588","8,685","399,064"
"Upadhyay, Sudhaker",Magadh University,ind,117,2010,2024,"394,690",817,14,9.7500,23,174,56,441,84,641,2.8839,349,2.3410,97,57.38%,"143,885","1,917",26,19.7000,23,406,56,"1,088",84,"1,510",3.3778,523,3.6654,107,0,0,0,Nuclear & Particle Physics,0.8120,General Physics,0.0684,Physics & Astronomy,0.9915,"2,605","6,120","151,105"
"Chattopadhyay, Debprasad",ICMR-National Institute of Traditional Medicine,ind,118,1990,2024,"395,026","2,265",27,10.9120,1,5,23,648,58,"1,085",2.8835,"2,085",1.0863,103,19.19%,"338,730","2,803",32,11.9743,1,10,23,776,58,"1,349",3.0124,"2,309",1.2139,107,0,0,2,Medicinal & Biomolecular Chemistry,0.1858,Virology,0.0885,Chemistry,0.3717,"1,681","1,994","105,998"
"Chandramohan, V. P.","National Institute of Technology, Warangal",ind,110,2010,2024,"395,296","1,666",20,12.7250,5,42,13,192,76,818,2.8832,"1,153",1.4449,94,21.38%,"309,618","2,119",25,16.0583,5,67,13,270,76,"1,067",3.0536,"1,255",1.6884,95,0,0,1,Energy,0.4091,Mechanical Engineering & Transports,0.1909,Enabling & Strategic Technologies,0.4636,"4,948","6,657","313,936"
"Manna, Alakesh",Punjab Engineering College (Deemed to be University),ind,98,2002,2024,"395,960","1,599",21,12.5000,4,6,22,815,59,"1,242",2.8823,"1,373",1.1646,75,14.31%,"372,094","1,866",23,14.3750,4,9,22,880,59,"1,457",2.9690,"1,483",1.2583,79,0,0,1,Materials,0.3061,Industrial Engineering & Automation,0.2551,Engineering,0.3980,"5,980","6,268","299,561"
"Ravi, V.","Government Arts College, Salem",ind,125,1990,2023,"396,010","2,148",26,13.3528,1,14,11,114,99,"1,666",2.8823,"1,849",1.1617,117,15.17%,"344,625","2,532",28,15.9790,1,22,11,167,99,"1,960",3.0045,"1,999",1.2666,120,2,30,4,Materials,0.7177,Applied Physics,0.1290,Enabling & Strategic Technologies,0.7661,"5,500","6,269","299,561"
"Kumar, Rajesh","ICAR - Indian Agricultural Research Institute, New Delhi",ind,297,1993,2024,"396,354","3,951",24,11.9471,10,12,54,310,110,600,2.8819,"3,836",1.0300,225,29.48%,"322,564","5,603",28,14.2055,10,16,54,464,110,869,3.0350,"5,299",1.0574,237,0,0,13,Materials,0.0878,Applied Physics,0.0878,Physics & Astronomy,0.1858,"5,103","6,274","299,561"
"Mukhopadhyay, Achintya",Jadavpur University,ind,235,1999,2024,"396,535","1,347",18,9.8179,4,95,24,314,83,595,2.8816,"1,167",1.1542,148,28.58%,"334,481","1,886",22,12.9845,4,98,24,376,83,797,3.0182,"1,425",1.3235,166,0,0,0,Mechanical Engineering & Transports,0.4138,Energy,0.2371,Engineering,0.4957,"2,718","3,076","143,311"
"Rajendran, S.",Pondicherry University,ind,227,1991,2024,"396,842","1,714",21,11.8119,3,6,55,827,140,"1,295",2.8813,"1,348",1.2715,155,29.55%,"333,098","2,433",26,14.4714,3,6,55,"1,156",140,"1,818",3.0201,"1,530",1.5902,176,0,0,1,Energy,0.3710,Materials,0.2579,Enabling & Strategic Technologies,0.7104,"5,417","6,687","313,936"
"Chattopadhyay, J.",Bhabha Atomic Research Centre,ind,151,1991,2024,"397,307","1,025",17,9.8690,2,59,31,559,105,780,2.8807,722,1.4197,104,29.94%,"325,995","1,463",22,11.7952,2,66,31,771,105,"1,086",3.0302,886,1.6512,114,0,0,0,Mechanical Engineering & Transports,0.6689,Energy,0.1126,Engineering,0.7152,"2,639","3,082","143,311"
"Misra, Parimal",University of Hyderabad,ind,60,1996,2024,"397,882","1,693",24,6.7068,1,100,10,407,17,448,2.8800,"1,567",1.0804,52,16.72%,"407,770","2,033",26,7.0893,1,102,10,456,17,517,2.9261,"1,749",1.1624,54,0,0,2,Medicinal & Biomolecular Chemistry,0.3000,Biochemistry & Molecular Biology,0.2000,Chemistry,0.4667,"2,089","2,009","105,998"
"Anand, Shashi",Hydromet Technology Solutions Pvt. Ltd,ind,159,1980,2022,"397,902","5,118",38,16.8071,0,0,13,201,61,"1,726",2.8800,"4,441",1.1524,144,7.55%,"414,968","5,536",41,18.6238,0,0,13,227,61,"1,863",2.9179,"4,596",1.2045,150,0,0,3,Mining & Metallurgy,0.2642,Materials,0.2138,Engineering,0.3711,235,220,"34,322"
"Chandra, Amreesh",Indian Institute of Technology Kharagpur,ind,120,2002,2024,"399,076","1,819",23,11.2083,2,35,15,157,77,"1,061",2.8786,"1,716",1.0600,104,23.57%,"342,268","2,380",26,13.6167,2,43,15,217,77,"1,441",3.0077,"1,956",1.2168,109,0,0,0,Energy,0.2000,Applied Physics,0.1833,Enabling & Strategic Technologies,0.5083,"5,620","6,724","313,936"
"Chugh, T. D.","Pt. B.D. Sharma PGIMS, Rohtak",ind,189,1962,2024,"399,355","1,580",21,10.9889,5,64,31,127,117,"1,023",2.8783,"1,543",1.0240,113,10.43%,"411,052","1,764",25,11.4818,5,65,31,136,117,"1,103",2.9224,"1,680",1.0500,117,0,0,0,General & Internal Medicine,0.3704,Microbiology,0.2540,Clinical Medicine,0.6931,"5,169","5,397","333,256"
"Supradeepa, V. R.",Indian Institute of Science,ind,191,2007,2024,"399,471","1,652",17,7.0540,1,46,48,767,152,982,2.8782,"1,396",1.1834,85,25.38%,"336,624","2,214",20,8.7206,1,54,48,"1,013",152,"1,400",3.0153,"1,669",1.3265,116,0,0,0,Optics,0.5026,Optoelectronics & Photonics,0.4293,Physics & Astronomy,0.5393,"1,548","1,700","78,127"
"Roy, Kaushik",West Bengal State University,ind,299,2004,2024,"399,580","2,620",25,15.1881,1,0,60,985,222,"2,020",2.8780,"2,273",1.1527,234,21.39%,"345,404","3,333",28,16.3643,1,1,60,"1,171",222,"2,556",3.0035,"2,588",1.2879,263,0,0,5,Artificial Intelligence & Image Processing,0.6946,Networking & Telecommunications,0.1007,Information & Communication Technologies,0.8658,"7,663","8,798","399,064"
"Sanjay, R. S.",National Institute of Technology Jamshedpur,ind,83,2002,2024,"399,631",948,19,11.3929,3,56,23,304,68,894,2.8780,703,1.3485,59,31.20%,"305,120","1,378",23,13.7262,3,83,23,509,68,"1,288",3.0603,796,1.7312,72,0,0,0,Energy,0.5783,Mechanical Engineering & Transports,0.2169,Enabling & Strategic Technologies,0.6386,"4,861","6,731","313,936"
"Kumar, Arvind","Visvesvaraya National Institute of Technology, Nagpur",ind,55,2015,2024,"399,848",726,18,12.3333,2,56,30,561,40,570,2.8777,410,1.7707,44,25.69%,"353,100",977,22,12.7833,2,72,30,757,40,768,2.9935,458,2.1332,46,0,0,1,Networking & Telecommunications,0.6909,Electrical & Electronic Engineering,0.0909,Information & Communication Technologies,0.7636,"3,740","4,200","206,482"
"Rayappan, John Bosco Balaguru",SASTRA Deemed University,ind,363,2001,2024,"400,834","6,677",40,20.7481,0,0,6,29,212,"4,763",2.8765,"5,869",1.1377,305,25.03%,"339,736","8,906",47,27.6064,0,0,6,39,212,"6,492",3.0111,"6,348",1.4030,322,0,0,2,Artificial Intelligence & Image Processing,0.1755,Analytical Chemistry,0.1476,Information & Communication Technologies,0.3565,"7,522","8,823","399,064"
"Kharkar, Prashant S.",Institute of Chemical Technology,ind,94,2002,2024,"400,882","1,162",19,9.9940,6,77,19,369,45,580,2.8765,"1,133",1.0256,79,15.49%,"384,831","1,375",21,11.5119,6,88,19,426,45,684,2.9535,"1,290",1.0659,80,1,2,0,Medicinal & Biomolecular Chemistry,0.3333,Pharmacology & Pharmacy,0.1613,Chemistry,0.6022,"1,946","2,034","105,998"
"Dhiman, Amit Kumar",Indian Institute of Technology Roorkee,ind,96,2005,2024,"401,022","1,270",18,11.5000,2,34,20,399,68,919,2.8763,900,1.4111,81,29.09%,"303,421","1,791",23,14.5833,2,41,20,688,68,"1,367",3.0628,"1,028",1.7422,86,0,0,0,Mechanical Engineering & Transports,0.5368,Chemical Engineering,0.1474,Engineering,0.7579,"2,464","3,118","143,311"
"Kumar Mishra, Ranjeet",Manipal Academy of Higher Education,ind,41,2018,2024,"402,145","1,314",17,9.1167,1,14,35,"1,281",37,"1,284",2.8750,"1,061",1.2385,39,15.50%,"367,091","1,555",19,10.7000,1,20,35,"1,505",37,"1,508",2.9754,"1,107",1.4047,40,0,0,0,Energy,0.5366,Biotechnology,0.1707,Enabling & Strategic Technologies,0.8537,"6,107","6,776","313,936"
"Joshi, Rajesh Kumar",Narendra Deva University of Agriculture and Technology,ind,115,1989,2024,"403,487",614,12,10.0944,55,337,69,414,80,497,2.8735,578,1.0623,91,40.04%,"245,908","1,024",16,14.5611,55,637,69,750,80,855,3.1560,680,1.5059,99,0,0,1,Medicinal & Biomolecular Chemistry,0.3217,Plant Biology & Botany,0.2174,Chemistry,0.4783,"1,087","2,053","105,998"
"Gupta, Malaya",Jadavpur University,ind,149,1979,2022,"403,855","2,749",28,11.9695,0,0,69,"1,472",93,"1,681",2.8730,"2,384",1.1531,127,6.85%,"454,041","2,951",29,11.7611,0,0,69,"1,553",93,"1,789",2.8754,"2,493",1.1837,130,0,0,0,Medicinal & Biomolecular Chemistry,0.3356,Pharmacology & Pharmacy,0.1812,Clinical Medicine,0.5235,"2,419","2,058","105,998"
"Singh, P. K.",Sharda University,ind,242,2002,2024,"404,152","2,547",26,12.8103,1,2,30,620,95,"1,354",2.8727,"2,185",1.1657,198,25.79%,"329,906","3,432",30,14.9429,1,4,30,857,95,"1,823",3.0246,"2,489",1.3789,213,0,0,0,Materials,0.2365,Polymers,0.2116,Enabling & Strategic Technologies,0.4108,"5,223","6,426","299,561"
"Kapat, Santanu",Indian Institute of Technology Kharagpur,ind,112,2008,2024,"404,824",788,15,10.4167,20,89,44,530,86,706,2.8719,648,1.2160,76,28.94%,"322,330","1,109",18,11.9167,20,159,44,705,86,985,3.0354,756,1.4669,93,0,0,0,Electrical & Electronic Engineering,0.9640,Computer Hardware & Architecture,0.0090,Engineering,0.9640,"1,134","1,469","119,204"
"Solomon, Viswas Raja",MNR College of Pharmacy,ind,102,2002,2024,"405,064","3,269",25,10.8751,0,0,23,"1,759",45,"1,875",2.8717,"2,896",1.1288,91,10.88%,"420,448","3,668",28,11.8751,0,0,23,"1,873",45,"2,011",2.9118,"3,101",1.1828,94,0,0,3,Medicinal & Biomolecular Chemistry,0.4314,Pharmacology & Pharmacy,0.1471,Chemistry,0.5784,"2,191","2,067","105,998"
"Tewari, Surya P.",University of Hyderabad,ind,171,1972,2014,"405,120","2,117",23,12.7718,9,12,26,274,84,"1,018",2.8716,"1,784",1.1867,123,25.67%,"369,981","2,848",32,13.9480,9,12,26,307,84,"1,180",2.9717,"2,146",1.3271,131,0,0,0,Optoelectronics & Photonics,0.2047,Chemical Physics,0.1637,Physics & Astronomy,0.5614,"1,709","1,721","120,816"
"Garg, K. C.",Council of Scientific and Industrial Research India,ind,88,1985,2023,"405,429",858,15,12.0000,7,54,57,552,81,741,2.8713,717,1.1967,67,16.29%,"394,519","1,025",17,13.0333,7,60,57,646,81,886,2.9419,772,1.3277,72,0,0,1,Information & Library Sciences,0.3908,Science Studies,0.3103,Social Sciences,0.7586,282,307,"14,509"
"Roy, Jitendra Nath",Kazi Nazrul University,ind,124,1993,2024,"405,918","1,370",19,12.3857,1,41,16,201,86,983,2.8707,916,1.4956,96,39.89%,"264,709","2,279",28,16.8857,1,52,16,362,86,"1,638",3.1237,"1,184",1.9248,110,0,0,0,Optoelectronics & Photonics,0.2602,Optics,0.2439,Physics & Astronomy,0.5447,"1,108","1,725","120,816"
"Mini, G. K.",Ananthapuri Hospitals and Research Institute,ind,107,2006,2024,"406,126","34,571",38,6.2435,1,22,13,126,21,147,2.8705,"30,800",1.1224,93,13.81%,"425,168","40,108",41,6.5078,1,23,13,136,21,164,2.9064,"34,328",1.1684,95,0,0,21,General & Internal Medicine,0.2710,Public Health,0.1776,Clinical Medicine,0.6729,"5,352","5,495","333,256"
"Nayak, Nabeen C.",Sir Ganga Ram Hospital,ind,140,1961,2017,"406,462","1,597",20,9.7806,7,25,39,496,99,881,2.8702,"1,432",1.1152,94,8.53%,"407,933","1,746",21,10.7806,7,32,39,548,99,988,2.9259,"1,481",1.1789,100,0,0,3,General & Internal Medicine,0.3071,Microbiology,0.1643,Clinical Medicine,0.7714,"5,128","5,503","333,256"
"Senthil, Ramalingam",SRM Institute of Science and Technology,ind,104,2016,2024,"406,541",892,15,10.6250,17,89,49,365,95,854,2.8701,730,1.2219,83,32.27%,"268,404","1,317",20,14.8750,17,150,49,667,95,"1,267",3.1177,826,1.5944,88,0,0,0,Energy,0.4038,Mechanical Engineering & Transports,0.1923,Enabling & Strategic Technologies,0.5385,"4,133","6,858","313,936"
"Mukhopadhyay, Amartya",Indian Institute of Technology Bombay,ind,98,2006,2024,"408,591","2,547",27,12.1119,1,0,23,"1,323",79,"1,982",2.8677,"2,262",1.1260,84,19.75%,"263,474","3,174",32,13.7548,1,7,23,"1,574",79,"2,496",3.1257,"2,442",1.2998,91,0,0,1,Materials,0.3814,Nanoscience & Nanotechnology,0.2268,Enabling & Strategic Technologies,0.8763,"4,011","6,516","299,561"
"Gupta, Subhasish Dutta",Indian Institute of Science Education and Research Kolkata,ind,115,1984,2024,"408,897","1,286",19,11.0167,10,59,25,270,79,673,2.8673,"1,049",1.2259,83,26.18%,"314,181","1,742",23,14.3595,10,90,25,394,79,927,3.0471,"1,240",1.4048,89,0,0,2,Optics,0.3913,Optoelectronics & Photonics,0.1652,Physics & Astronomy,0.8174,"1,442","1,740","78,127"
"Rawat, Ajay Kumar Singh",CSIR-National Botanical Research Institute,ind,212,1992,2022,"409,218","4,742",36,15.5766,0,0,9,175,110,"2,460",2.8670,"4,262",1.1126,198,10.73%,"443,772","5,312",37,16.7722,0,0,9,179,110,"2,663",2.8863,"4,540",1.1700,200,0,0,10,Medicinal & Biomolecular Chemistry,0.3255,Analytical Chemistry,0.2028,Chemistry,0.5755,"2,344","2,093","105,998"
"Sugumaran, Vaithiyanathan","Vellore Institute of Technology, Chennai",ind,129,2007,2024,"409,275","3,145",27,13.6833,0,0,7,752,83,"2,118",2.8669,"2,460",1.2785,114,20.44%,"356,427","3,953",32,18.6000,0,0,7,876,83,"2,779",2.9892,"2,645",1.4945,117,0,0,3,Artificial Intelligence & Image Processing,0.3281,Mechanical Engineering & Transports,0.1719,Information & Communication Technologies,0.3594,"7,941","9,038","399,064"
"Nayar, Pramod K.",University of Hyderabad,ind,136,2001,2023,"409,523",439,11,11.0000,127,436,130,439,135,439,2.8666,411,1.0681,67,14.09%,"403,110",511,12,12.0000,127,508,130,511,135,511,2.9317,453,1.1280,72,0,0,0,Literary Studies,0.2791,Languages & Linguistics,0.0465,Communication & Textual Studies,0.5814,96,119,"17,976"
"Koul, Shiban",Indian Institute of Technology Delhi,ind,600,1981,2024,"410,251","2,489",22,13.8000,93,11,182,107,495,"2,086",2.8657,"2,250",1.1062,329,25.79%,"356,371","3,354",26,16.9167,93,13,182,128,495,"2,782",2.9892,"2,654",1.2638,370,0,0,0,Networking & Telecommunications,0.6351,Electrical & Electronic Engineering,0.0270,Information & Communication Technologies,0.8361,"3,770","4,326","206,482"
"Saxena, A. K.","Indian Institute of Integrative Medicine, Srinagar",ind,196,1984,2024,"410,269","6,049",42,16.5740,0,0,7,115,75,"1,795",2.8657,"5,377",1.1250,187,12.00%,"426,321","6,874",46,17.8634,0,0,7,123,75,"2,068",2.9052,"5,883",1.1685,188,0,0,12,Medicinal & Biomolecular Chemistry,0.4133,Oncology & Carcinogenesis,0.0918,Chemistry,0.4796,"2,229","2,102","105,998"
"Kaler, R. S.",Thapar Institute of Engineering & Technology,ind,295,2001,2024,"410,903","1,932",19,13.7500,8,22,18,121,223,"1,612",2.8650,"1,422",1.3586,221,32.78%,"293,220","2,874",26,18.8667,8,24,18,221,223,"2,390",3.0779,"1,710",1.6807,242,1,0,4,Optics,0.4490,Optoelectronics & Photonics,0.3912,Physics & Astronomy,0.4830,"1,349","1,747","78,127"
"Deo, Madhav G.",Moving Academy of Medicine and Biomedicine,ind,140,1960,2020,"411,270",999,16,8.8611,21,159,44,243,95,790,2.8646,883,1.1314,99,14.25%,"420,679","1,165",18,9.3111,21,163,44,262,95,920,2.9115,938,1.2420,100,0,0,0,General & Internal Medicine,0.2029,Tropical Medicine,0.1594,Clinical Medicine,0.7319,"5,303","5,581","333,256"
"Srinivas, T.",Dr. B.R. Ambedkar National Institute of Technology,ind,111,2006,2024,"411,878",967,17,11.6667,6,44,30,378,85,900,2.8639,784,1.2334,82,22.76%,"357,198","1,252",21,13.6667,6,55,30,465,85,"1,158",2.9881,886,1.4131,84,0,0,0,Energy,0.5505,Mechanical Engineering & Transports,0.1651,Enabling & Strategic Technologies,0.7064,"5,911","6,956","313,936"
"Kalantri, Shriprakash",Mahatma Gandhi Institute of Medical Sciences,ind,101,1987,2021,"412,101","3,691",30,8.6129,17,14,23,221,53,833,2.8636,"3,229",1.1431,78,10.04%,"451,576","4,103",31,8.8649,17,14,23,237,53,875,2.8780,"3,479",1.1794,80,0,0,0,General & Internal Medicine,0.2772,Microbiology,0.0792,Clinical Medicine,0.7723,"5,733","5,597","333,256"
"Puri, Sunil K.",Central Drug Research Institute India,ind,224,1979,2024,"412,147","4,930",39,17.9397,0,0,22,174,77,"1,348",2.8636,"3,799",1.2977,200,16.89%,"377,211","5,932",45,20.4722,0,0,22,257,77,"1,765",2.9627,"4,169",1.4229,202,0,0,1,Medicinal & Biomolecular Chemistry,0.4196,Mycology & Parasitology,0.1295,Chemistry,0.4866,"1,907","2,115","105,998"
"Islam, Tarikul",Jamia Millia Islamia,ind,147,2004,2024,"412,447","1,290",20,11.9000,5,16,45,526,92,913,2.8632,"1,059",1.2181,109,30.50%,"346,471","1,856",24,14.0833,5,17,45,781,92,"1,299",3.0020,"1,244",1.4920,119,0,0,2,Electrical & Electronic Engineering,0.2653,Analytical Chemistry,0.2245,Engineering,0.3129,"1,237","1,509","119,204"
"Seshiah, V.",The Tamil Nadu Dr.M.G.R. Medical University,ind,92,1978,2023,"413,033","1,927",23,6.9927,8,24,44,617,65,905,2.8625,"1,659",1.1615,64,13.70%,"416,153","2,233",25,7.9772,8,25,44,678,65,997,2.9165,"1,847",1.2090,65,0,0,1,General & Internal Medicine,0.3478,Endocrinology & Metabolism,0.2935,Clinical Medicine,0.9348,"5,243","5,608","333,256"
"Balachandran, Manoj",Christ University,ind,91,2010,2024,"413,221",923,14,9.6167,10,86,22,486,85,849,2.8623,846,1.0910,66,31.73%,"274,366","1,352",19,13.9833,10,168,22,674,85,"1,237",3.1078,928,1.4569,75,0,0,0,Energy,0.1758,Materials,0.1209,Enabling & Strategic Technologies,0.4615,"4,236","6,976","313,936"
"Ahmad, Musheer",Jamia Millia Islamia,ind,135,2008,2024,"414,633","1,831",26,11.5476,1,4,50,630,74,"1,176",2.8607,"1,264",1.4486,116,24.02%,"313,752","2,410",29,13.9476,1,13,50,833,74,"1,515",3.0477,"1,435",1.6794,121,0,0,1,Artificial Intelligence & Image Processing,0.3926,Networking & Telecommunications,0.3037,Information & Communication Technologies,0.7481,"6,879","9,169","399,064"
